Unnamed: 0,recipe_name,Ingredients,Ingredients_alpha,eng_Ingredients_alpha,Ingredients_string,pays
13,"[' Bourak à la viande ', '']",-          -   crevettes -   dioul  -   oignon   -   beurre -     persil - œuf   -sel -poivre noir  -huile    ,"{'crevettes': 145, 'semouline': 869, 'farine': 920, 'sel': 778, 'water': 794, 'oignon': 348, 'beurre': 60, 'persil': 338, 'œuf': 0, 'poivre noir': 399, 'huile': 901}","{'trassi ': 145, 'semolina ': 869, 'flour': 920, 'salt': 778, 'water': 794, 'onion': 348, 'butter': 60, 'parsley': 338, 'egg': 0, 'white pepper': 399, 'cooking oil': 901}  ","'trassi' , 'semolina'   , 'onion' ,'butter' , 'parsley' , 'egg'  ,'white pepper' ,'cooking oil', 'flour' ,'salt', 'water'",ALGERIE
14,"[' Bourek aux sardines', '']",-   dioul -   sardines  -   oignon   -   persil -  œufs -   huile -    poivre noir -   sel - citron  -huile    ,"{'semouline': 869, 'farine': 920, 'sel': 778, 'water': 794, 'sardines': 683, 'oignon': 348, 'persil': 338, 'œufs': 0, 'huile': 901, 'poivre noir': 399, 'citron': 240}","{'semolina ': 869, 'flour': 920, 'salt': 778, 'water': 794, 'clupeinae': 683, 'onion': 348, 'parsley': 338, 'egg': 0, 'cooking oil': 901, 'pepper': 399, 'lemon': 240}  ","'semolina'   , 'clupeinae' , 'onion' , 'parsley' , 'egg' , 'cooking oil' , 'pepper' , 'lemon' ,'flour' , 'water' , 'salt'",ALGERIE
15,"[' Bourek au poison', '']",-   dioul -    poissons -   persil - œufs  - anchois  -    poivre noir  -  sel -huile     ,"{'semouline': 869, 'farine': 920, 'sel': 778, 'water': 794, 'poissons': 151, 'persil': 338, 'œufs': 0, 'anchois': 720, 'poivre noir': 399, 'huile': 901}","{'semolina ': 869, 'flour': 920, 'salt': 778, 'water': 794, 'fish': 151, 'parsley': 338, 'egg': 0, 'anchovy': 720, 'white pepper': 399, 'cooking oil': 901}  "," 'semolina' , 'fish' ,'parsley' , 'egg' ,'anchovy' , 'white pepper'  ,'cooking oil', 'flour' , 'water', 'salt'",ALGERIE
19,"[' Foie en sauce relevée ', '']", -   foie     -    ail -   huile - piment rouge   -    poivre rouge  -   carvi -    poivre noir -    sel -   farine  -huile   -   vinaigre   ,"{'foie': 276, 'ail': 259, 'huile': 901, 'piment rouge': 362, 'poivre rouge': 339, 'carvi': 326, 'poivre noir': 399, 'sel': 778, 'farine': 920, 'vinaigre': 322}","{'meat': 276, 'garlic': 259, 'cooking oil': 901, 'capsicum': 362, 'pepper': 339, 'caraway': 326, 'white pepper': 399, 'salt': 778, 'flour': 920, 'vinegar ': 322}  ","'meat' , 'garlic' , 'cooking oil' , 'capsicum' , 'pepper' ,'caraway' , 'white pepper' , 'salt' , 'flour' , 'vinegar'",ALGERIE
24,"[' Rate de veau farcie ', '']",- rate    -   viande    -   huile  olives  -   beurre  -  ail  -    laurier     -   romarin     -   poivre noir  -    piment fort    -    coriandre   -sel  ,"{'rate': 276, 'viande': 276, 'huile  olives': 979, 'beurre': 60, 'ail': 259, 'laurier': 305, 'romarin': 264, 'poivre noir': 399, 'piment fort': 362, 'coriandre': 254, 'sel': 778}","{'meat': 276, 'meat': 276, 'cooking oil': 979, 'butter': 60, 'garlic': 259, 'laurel ': 305, 'rosemary': 264, 'white pepper': 399, 'capsicum ': 362, 'coriander ': 254, 'salt': 778}  ","'meat' , 'meat' , 'cooking oil' , 'butter'  , 'garlic' , 'laurel' , 'rosemary' , 'white pepper', 'capsicum' , 'coriander' , 'salt'",ALGERIE
0,"[' Aubergines en ratatouille', 'Badendjel zaalouk', '']",-   aubergines -   tomates -  ail - piment rouge   -    sel -    poivre rouge -   carvi -   huile  ,"{'aubergines': 387, 'tomates': 364, 'ail': 259, 'piment rouge': 362, 'sel': 778, 'poivre rouge': 339, 'carvi': 326, 'huile': 901}","{'eggplant ': 387, 'tomato': 364, 'garlic': 259, 'capsicum ': 362, 'salt': 778, 'pepper': 339, 'caraway ': 326, 'cooking oil': 901}  "," 'eggplant' , 'tomato' ,'garlic' , 'capsicum' , 'salt' , 'pepper' , 'caraway' , 'cooking oil'",ALGERIE
10,"[' Chou fleur en sauce', 'flor mcharmel', '']",- chou fleur      -    ail -   huile -   tomates -   poivre rouge -sel -   vinaigre - œufs -   farine -huile    ,"{'chou fleur': 354, 'ail': 259, 'huile': 901, 'tomates': 364, 'poivre rouge': 339, 'sel': 778, 'vinaigre': 322, 'œufs': 0, 'farine': 920}","{'cauliflower ': 354, 'garlic': 259, 'cooking oil ': 901, 'tomato': 364, 'pepper': 339, 'salt': 778, 'vinegar ': 322, 'egg': 0, 'flour': 920} "," 'cauliflower'  , 'garlic'  , 'cooking oil'  , 'tomato' , 'pepper' ,'salt' , 'vinegar' , 'egg' , 'flour'",ALGERIE
12,"[' Croquettes de pommes de terre', 'Adjeidjat al-batata', '']",-   pommes de terre  -   oignons   -     ail -   vinaigre - œufs -farine -sel -    cumin -    poivre noir - piment rouge    ,"{'pommes de terre': 373, 'oignons ': 348, 'ail': 259, 'vinaigre': 322, 'œufs': 0, 'farine': 920, 'sel': 778, 'cumin': 332, 'poivre noir': 399, 'piment rouge': 362}","{'potato': 373, 'onion ': 348, 'garlic': 259, 'vinegar ': 322, 'egg': 0, 'flour': 920, 'salt': 778, 'cumin': 332, 'white pepper': 399, 'capsicum': 362} "," 'potato' , 'onion' ,  'garlic' , 'vinegar'  , 'egg' ,'flour' ,'salt' , 'cumin'  , 'white pepper' , 'capsicum'",ALGERIE
15,"[' Haricots secs en sauce', '']",-   haricots   -    cardon -   persil -    ail -   huile - piment rouge   -    poivre rouge - tomate -    sel  ,"{'haricots ': 284, 'cardon': 527, 'persil': 338, 'ail': 259, 'huile': 901, 'piment rouge': 362, 'poivre rouge': 339, 'tomate': 364, 'sel': 778}","{'beans  ': 284, 'cardoon': 527, 'parsley': 338, 'garlic': 259, 'cooking oil': 901, 'capsicum': 362, 'pepper': 339, 'tomato': 364, 'salt': 778}  ","'beans'    , 'cardoon' ,'parsley' , 'garlic' , 'cooking oil' ,'capsicum' , 'pepper' , 'tomato' , 'salt'",ALGERIE
16,"[' Lentilles au cèleri', '']",-   lentilles - oignons  -   huile -    cèleri -    poivre noir -   poivre rouge -    sel  ,"{'lentilles': 429, 'oignons ': 348, 'huile': 901, 'cèleri': 329, 'poivre noir': 399, 'poivre rouge': 339, 'sel': 778}","{'lentils': 429, 'onion': 348, 'cooking oil': 901, 'celery': 329, 'pepper': 399, 'pepper': 339, 'salt': 778}"," 'lentils' , 'onion'   , 'cooking oil' , 'celery'  , 'pepper' , 'pepper'  ,  'salt'",ALGERIE
23,"[' Petits pois au four', 'Djelbana fel-koucha', '']",-   peits pois - oignon vert -   huile - œufs -   persil -    poivre rouge -    poivre noir -    sel -    piment fort    ,"{'peits pois': 288, 'oignon vert': 472, 'huile': 901, 'œufs': 0, 'persil': 338, 'poivre rouge': 339, 'poivre noir': 399, 'sel': 778, 'piment fort': 362}","{'peas': 288, 'welsh onion ': 472, 'cooking oil': 901, 'egg': 0, 'parsley': 338, 'pepper': 339, 'white pepper': 399, 'salt': 778, 'capsicum': 362}"," 'peas' , 'welsh onion' , 'cooking oil' ,'egg'  , 'parsley' , 'pepper' , 'white pepper' , 'salt' , 'capsicum'",ALGERIE
27,"[' Tbikha', 'jardinière', '']",-   fèves  -     pois   -   artichauts -    ail - piment rouge   -   huile -   riz -   coriandre -    poivre rouge -    poivre noir -    sel -citron  ,"{'fèves': 284, 'pois': 288, 'artichauts': 157, 'ail': 259, 'piment rouge': 362, 'huile': 901, 'riz': 55, 'coriandre': 254, 'poivre rouge': 339, 'poivre noir': 399, 'sel': 778, 'citron': 240}","{'beans': 284, 'peas ': 288, 'artichoke ': 157, 'garlic': 259, 'capsicum': 362, 'cooking oil': 901, 'rice': 55, 'coriander': 254, 'pepper': 339, 'pepper': 399, 'salt': 778, 'lemon': 240} "," 'beans'   , 'peas'    , 'artichoke'   , 'garlic' , 'capsicum'   , 'cooking oil' , 'rice' , 'coriander' , 'pepper' , 'pepper' , 'salt' ,'lemon'",ALGERIE
31,"[' Tchaktchouka aux courgettes', ""Tchaktchouka bel-qar'a"", '']",-   poivrons verts -   tomates -   courgettes - piment vert -   huile -    ail - œufs -    sel -   poivre rouge -    poivre noir  ,"{'poivrons verts': 339, 'tomates': 364, 'courgettes': 968, 'piment vert': 362, 'huile': 901, 'ail': 259, 'œufs': 0, 'sel': 778, 'poivre rouge': 339, 'poivre noir': 399}","{'pepper': 339, 'tomato': 364, 'green zucchini ': 968, 'capsicum': 362, 'cooking oil': 901, 'garlic': 259, 'egg': 0, 'salt': 778, 'pepper': 339, 'white pepper': 399}  ","'pepper','tomato','green zucchini','capsicum','cooking oil','garlic','egg','salt','pepper','white pepper'",ALGERIE
6,"[' Brochettes de foie de veau', '']",-   foie   -sel -poivre noir -cumin  ,"{'foie': 276, 'sel': 778, 'poivre noir': 399, 'cumin': 332}","{'meat': 276, 'salt': 778, 'pepper': 399, 'cumin': 332} "," 'meat','salt','pepper','cumin'",ALGERIE
10,"[' Cœur de veau en sauce', '']",- cœurs   - oignons     -   huile - piment rouge   -   canelle -   poivre rouge -    ail -    poivre noir -    sel -   olives      ,"{'cœurs': 276, 'oignons': 348, 'huile': 901, 'piment rouge': 362, 'canelle': 330, 'poivre rouge': 339, 'ail': 259, 'poivre noir': 399, 'sel': 778, 'olives': 307}","{'meat': 276, 'onion': 348, 'cooking oil': 901, 'capsicum': 362, 'cinnamon': 330, 'pepper': 339, 'garlic': 259, 'white pepper': 399, 'salt': 778, 'olive': 307} ","'meat','onion','cooking oil','capsicum','cinnamon','pepper','garlic','white pepper','salt','olive'",ALGERIE
12,"["" Dolma d'artichauts à la constantinoise"", 'Dolma qarnoun', '']",-       -   smen - oignon     -    poivre noir -    sel -    canelle - jaune  œuf - citron -   artichauts -   viande   -    chapelure -   oignon   -    persil -   poivre noir -   sel - œuf - œufs -   chapelure -huile    ,"{'smen': 60, 'oignon': 348, 'poivre noir': 399, 'sel': 778, 'canelle': 330, 'jaune  œuf': 983, 'citron': 240, 'artichauts': 157, 'viande': 276, 'chapelure': 2, 'persil': 338, 'œuf': 0, 'œufs': 0, 'huile': 901}","{'butter': 60, 'onion': 348, 'white pepper': 399, 'salt': 778, 'cinnamon ': 330, 'egg yolk': 983, 'lemon': 240, 'artichoke ': 157, 'meat': 276, 'bread ': 2, 'parsley': 338, 'egg': 0, 'egg': 0, 'cooking oil': 901}"," 'butter','onion','onion','white pepper','salt','cinnamon','egg yolk','lemon','artichoke','meat','bread','parsley','egg','egg','cooking oil'",ALGERIE
13,"[' Fenouil farci (sauce rouge)', '']",-        -   fenouil -   pois chiches - oignons    -   tomates -    ail - piment rouge ou     piment fort   -    smen -   huile -    poivre rouge -    poivre noir -    gingembre -   viande   -   riz -   persil -   oignon   - œuf -   poivre noir -    ail -   canelle -   sel  ,"{'fenouil': 257, 'pois chiches': 417, 'oignons ': 348, 'tomates': 364, 'ail': 259, 'piment rouge': 362, 'smen': 60, 'huile': 901, 'poivre rouge': 339, 'poivre noir': 399, 'gingembre': 333, 'viande': 276, 'riz': 55, 'persil': 338, 'oignon': 348, 'œuf': 0, 'canelle': 330, 'sel': 778}","{'fennel ': 257, 'chickpea': 417, 'onion ': 348, 'tomato': 364, 'garlic': 259, 'capsicum': 362, 'butter': 60, 'cooking oil': 901, 'pepper': 339, 'white pepper': 399, 'ginger': 333, 'meat': 276, 'rice': 55, 'parsley': 338, 'onion': 348, 'egg': 0, 'cinnamon ': 330, 'salt': 778}"," 'fennel','chickpea','onion','tomato','garlic','capsicum','butter','cooking oil','pepper','white pepper','ginger','meat','rice','parsley','onion','egg','cinnamon','salt'",ALGERIE
14,"[' Feuilles de chou farcies', 'Dolma kromb', '']",- chou   - oignons   -   pois chiches   -   huile -   smen ou    beurre -    poivre rouge -     poivre noir -    sel -   canelle - jaune  œuf - citron -   viande   -   oignon   -   persil -   riz - oeuf -   beurre -   sel -   poivre noir -   cannelle  ,"{'chou': 353, 'oignons  ': 348, 'pois chiches': 417, 'huile': 901, 'smen': 60, 'poivre rouge': 339, 'poivre noir': 399, 'sel': 778, 'canelle': 330, 'jaune  œuf': 983, 'citron': 240, 'viande': 276, 'oignon': 348, 'persil': 338, 'riz': 55, 'oeuf': 0, 'beurre': 60, 'cannelle': 330}","{'cabbage': 353, 'onion  ': 348, 'chickpea': 417, 'cooking oil': 901, 'cooking oil': 60, 'pepper': 339, 'white pepper': 399, 'salt': 778, 'cinnamon ': 330, 'egg yolk': 983, 'lemon': 240, 'meat': 276, 'onion': 348, 'parsley': 338, 'rice': 55, 'egg': 0, 'butter': 60, 'cinnamon ': 330} "," 'cabbage','onion','chickpea','cooking oil','butter','pepper','white pepper','salt','cinnamon','egg yolk','lemon','meat','onion','parsley','rice','egg','butter','cinnamon'",ALGERIE
18,"[' Tadjine de boulettes de viande hachèe', '']",-       -   tomates - oignons   -   pois chiches   -   smen -   huile -   safran -   poivre noir - piment rouge   -    poivre noir -   sel -   viande   -   oignon   -     persil -    poivre noir -    sel -    poivre rouge  ,"{'tomates': 364, 'oignons ': 348, 'pois chiches': 417, 'smen': 60, 'huile': 901, 'safran': 340, 'poivre noir': 399, 'piment rouge': 362, 'sel': 778, 'viande': 276, 'oignon': 348, 'persil': 338, 'poivre rouge': 339}","{'tomato': 364, 'onion ': 348, 'chickpea': 417, 'butter': 60, 'cooking oil': 901, 'saffron': 340, 'white pepper': 399, 'capsicum': 362, 'salt': 778, 'meat': 276, 'onion': 348, 'parsley': 338, 'pepper': 339}  ","'tomato','onion','chickpea','butter','cooking oil','saffron','white pepper','capsicum','salt','meat','onion','parsley','pepper'",ALGERIE
19,"[' Tourte aux èpinards', '']",-   èpinard -   dioul -   viande   - œufs -    ail - oignon      -    poivre noir -    canelle -    sel -   beurre - blanc  œuf  ,"{'èpinard': 396, 'semouline': 869, 'farine': 920, 'sel': 778, 'water': 794, 'viande': 276, 'œufs': 0, 'ail': 259, 'oignon': 348, 'poivre noir': 399, 'canelle': 330, 'beurre': 60, 'blanc  œuf': 985}","{'spinach': 396, 'semolina ': 869, 'flour': 920, 'salt': 778, 'water': 794, 'meat': 276, 'egg': 0, 'garlic': 259, 'onion': 348, 'white pepper': 399, 'cinnamon': 330, 'butter': 60, 'egg white': 985} ","'spinach','semolina','flour','salt','water','meat','egg','garlic','onion','white pepper','cinnamon','butter','egg white'",ALGERIE
1,"[' Calmars frais ', '']", - calmars -   riz  - oignons      -  huile  olive -   laurier     -   tomates  -   persil  - jaunes  œufs  -   beurre  -    poivre noir  -   sel   ,"{'riz': 55, 'beurre': 60, 'calmars': 147, 'huile  olive': 979, 'persil': 338, 'sel': 778, 'poivre noir': 399, 'tomates': 364, 'jaunes  œufs': 983, 'oignons': 348, 'laurier': 305}","{'rice': 55, 'butter': 60, 'squid': 147, 'cooking oil': 979, 'parsley': 338, 'salt': 778, 'white pepper': 399, 'tomato': 364, 'egg yolk': 983, 'onion': 348, 'laurel': 305}"," 'rice','butter','squid','cooking oil','parsley','salt','white pepper','tomato','egg yolk','onion','laurel'",ALGERIE
5,"[' Crevettes en sauce tomate ', '']",-    crevettes  -   huile  -   tomates -   persil  -    ail  -    poivre noir  -    sel  -     poivre rouge -    thym      -    laurier      - piment rouge     ,"{'crevettes': 145, 'huile': 901, 'ail': 259, 'sel': 778, 'poivre noir': 399, 'thym': 269, 'piment rouge': 362, 'tomates': 364, 'poivre rouge': 339, 'persil': 338, 'laurier': 305}","{'shrimp': 145, 'cooking oil': 901, 'garlic': 259, 'salt': 778, 'white pepper': 399, 'thyme': 269, 'capsicum': 362, 'tomato': 364, 'pepper': 339, 'parsley': 338, 'laurel': 305}"," 'shrimp','cooking oil','garlic','salt','white pepper','thyme','capsicum','tomato','pepper','parsley','laurel'",ALGERIE
6,"[' Crevettes sautées ', 'Qamroun maqli ', '']",-    crevettes  -    ail -   persil  -   huile  olive  -    poivre rouge  -   poivre noir  -sel  -huile     ,"{'crevettes': 145, 'huile': 901, 'ail': 259, 'huile  olive': 979, 'sel': 778, 'poivre noir': 399, 'poivre rouge': 339, 'persil': 338}","{'shrimp ': 145, 'cooking oil': 901, 'garlic': 259, 'olive oil': 979, 'salt': 778, 'white pepper': 399, 'pepper': 339, 'parsley': 338} ","'shrimp','cooking oil','garlic','olive oil','salt','white pepper','pepper','parsley'  ",ALGERIE
12,"[' Mèrou frite kabyle ', 'badjidj maqli ', '']",-   mèrou  -   haricots rouges -   oignons    -    ail  - bouquet garni - poivron rouge -     persil  -sel -   farine -huile     ,"{'haricots rouges': 284, 'mèrou': 565, 'farine': 920, 'huile': 901, 'ail': 259, 'persil': 338, 'poivron rouge': 339, 'sel': 778, 'carottes': 368, 'navet': 358, 'poireau': 345, 'céleri': 329, 'oignons': 348}","{'beans': 284, 'grouper ': 565, 'flour': 920, 'cooking oil': 901, 'garlic': 259, 'parsley': 338, 'pepper': 339, 'salt': 778, 'carrot ': 368, 'turnip ': 358, 'leek': 345, 'celery': 329, 'onion': 348} "," 'grouper','beans','flour','cooking oil','garlic','parsley','pepper','salt','carrot','turnip','leek','celery','onion'",ALGERIE
16,"[' Poisson en sauce vinaigrée ', 'Hout khmiri ', '']",- poisson    -   pommes de terre -   vinaigre -   beurre  -   poivre noir  -    safran  -sel  ,"{'pommes de terre': 373, 'beurre': 60, 'safran': 340, 'poisson': 151, 'sel': 778, 'poivre noir': 399, 'vinaigre': 322}","{'potato': 373, 'butter': 60, 'saffron ': 340, 'fish': 151, 'salt': 778, 'white pepper': 399, 'vinegar ': 322} "," 'fish','potato','butter','saffron','fish','salt','white pepper','vinegar'",ALGERIE
17,"[' Raie en sauce ', 'Raya chtéteha ', '']",- raie -   tomates -     persil  -   thym     -    laurier      -   huile  - piment rouge    -    poivre rouge  -   cumin      -    sel  -    ail   ,"{'cumin': 332, 'huile': 901, 'ail': 259, 'sel': 778, 'thym': 269, 'raie': 547, 'piment rouge': 362, 'tomates': 364, 'poivre rouge': 339, 'persil': 338, 'laurier': 305}","{'cumin': 332, 'cooking oil': 901, 'garlic': 259, 'salt': 778, 'thyme': 269, 'devilfish': 547, 'capsicum': 362, 'tomato': 364, 'white pepper': 339, 'parsley': 338, 'laurel ': 305}"," 'cumin','cooking oil','garlic','salt','thyme','devilfish','capsicum','tomato','white pepper','parsley','laurel'",ALGERIE
